GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab-parser,parser,Variable,0,21,0,0,0,8,0,5,0,5
lab-parser,parser,OperatorTokenFactory,0,17,0,0,0,4,0,2,0,2
lab-parser,parser,SUB,0,20,0,0,0,7,0,3,0,3
lab-parser,parser,StringTokenFactory,0,36,0,0,0,11,0,6,0,6
lab-parser,parser,Node,7,3,0,0,4,1,4,1,4,1
lab-parser,parser,UnaryOperation,15,24,0,0,2,9,2,5,2,5
lab-parser,parser,TokenFactory,7,3,0,0,4,1,4,1,4,1
lab-parser,parser,MUL,0,16,0,0,0,5,0,3,0,3
lab-parser,parser,LOAD,0,28,0,0,0,7,0,3,0,3
lab-parser,parser,OperandStack,0,37,0,0,0,10,0,3,0,3
lab-parser,parser,Storage,0,15,0,0,0,6,0,3,0,3
lab-parser,parser,Type,0,24,0,0,0,2,0,1,0,1
lab-parser,parser,Multiplication,0,11,0,0,0,4,0,3,0,3
lab-parser,parser,Negation,0,21,0,0,0,4,0,3,0,3
lab-parser,parser,BinaryOperation,4,56,0,4,2,11,2,7,2,5
lab-parser,parser,IdentifierTokenFactory,0,13,0,0,0,3,0,2,0,2
lab-parser,parser,TokenType,3,133,0,0,1,15,1,2,1,2
lab-parser,parser,BIPUSH,0,22,0,0,0,6,0,3,0,3
lab-parser,parser,ArithParser,0,281,0,44,0,67,0,27,0,5
lab-parser,parser,Token,0,28,0,0,0,9,0,5,0,5
lab-parser,parser,LiteralTokenFactory,0,13,0,0,0,3,0,2,0,2
lab-parser,parser,Program,0,93,0,4,0,22,0,9,0,7
lab-parser,parser,Compiler,0,12,0,0,0,4,0,2,0,2
lab-parser,parser,Addition,0,11,0,0,0,4,0,3,0,3
lab-parser,parser,ADD,0,20,0,0,0,7,0,3,0,3
lab-parser,parser,VariableTable,0,21,0,0,0,6,0,3,0,3
lab-parser,parser,SIN,0,14,0,0,0,5,0,3,0,3
lab-parser,parser,Sin,0,21,0,0,0,4,0,3,0,3
lab-parser,parser,Instruction,3,3,0,0,2,1,2,1,2,1
lab-parser,parser,RegExTokenFactory,0,49,0,4,0,11,0,8,0,6
lab-parser,parser,Literal,0,28,0,0,0,8,0,5,0,5
lab-parser,parser,Subtraction,0,11,0,0,0,4,0,3,0,3
lab-parser,parser,NEG,0,14,0,0,0,5,0,3,0,3
lab-parser,parser,DIV,0,20,0,0,0,7,0,3,0,3
lab-parser,parser,Division,0,11,0,0,0,4,0,3,0,3
lab-parser,parser,LexicalAnalyzer,0,196,0,12,0,28,0,12,0,6
